epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3223.63,1.3268,0.90677,1.19874,0.79797,0.38462,0.52417,0.20645,2.49722,1.72046,2.16659,0.0007526,0.0007526,0.0007526
128,3249.66,1.32086,0.88738,1.16835,0.76087,0.38462,0.5128,0.2132,2.49183,1.71248,2.15613,0.0007427,0.0007427,0.0007427
129,3275.69,1.37501,0.87741,1.19613,0.7663,0.37876,0.49967,0.20389,2.4793,1.70416,2.13378,0.0007328,0.0007328,0.0007328
130,3302.6,1.2902,0.90508,1.16611,0.45005,0.5,0.5082,0.20948,2.46966,1.75042,2.11125,0.0007229,0.0007229,0.0007229
131,3328.25,1.19526,0.84536,1.11375,0.49511,0.56601,0.50708,0.20549,2.44825,1.72821,2.08367,0.000713,0.000713,0.000713
132,3355.89,1.22906,0.8814,1.14122,0.52974,0.53846,0.50916,0.22387,2.3536,1.70201,2.00575,0.0007031,0.0007031,0.0007031
133,3384.98,1.27843,0.88914,1.12809,0.55276,0.53846,0.52496,0.23203,2.29829,1.68058,1.96514,0.0006932,0.0006932,0.0006932
134,3414.28,1.2485,0.85963,1.13434,0.60171,0.5,0.51747,0.23254,2.34465,1.63891,1.99001,0.0006833,0.0006833,0.0006833
135,3443.77,1.25513,0.88962,1.15084,0.6473,0.42308,0.51556,0.2451,2.31588,1.61547,2.00663,0.0006734,0.0006734,0.0006734
136,3471.61,1.23485,0.83242,1.17553,0.55197,0.57692,0.52651,0.25157,2.30728,1.64322,1.97894,0.0006635,0.0006635,0.0006635
137,3497.13,1.19188,0.83308,1.14474,0.65358,0.46154,0.54398,0.25643,2.27234,1.64013,1.93462,0.0006536,0.0006536,0.0006536
138,3523.92,1.23935,0.83859,1.12195,0.48122,0.60672,0.53439,0.23696,2.32674,1.65877,2.0451,0.0006437,0.0006437,0.0006437
139,3549.28,1.25297,0.86242,1.17085,0.44638,0.58946,0.54335,0.23131,2.43397,1.61868,2.16623,0.0006338,0.0006338,0.0006338
140,3577.41,1.22944,0.85275,1.18768,0.50577,0.47263,0.53556,0.20277,2.5181,1.6356,2.26001,0.0006239,0.0006239,0.0006239
141,3609.11,1.34782,0.88758,1.20779,0.62308,0.46154,0.53627,0.20963,2.5399,1.56097,2.31984,0.000614,0.000614,0.000614
142,3645.54,1.32568,0.88547,1.19182,0.42462,0.53933,0.5182,0.21606,2.42654,1.60987,2.17595,0.0006041,0.0006041,0.0006041
143,3676.71,1.23035,0.81569,1.12002,0.40939,0.57692,0.49558,0.21442,2.37372,1.70053,2.0577,0.0005942,0.0005942,0.0005942
144,3703.52,1.21884,0.81492,1.10983,0.49145,0.65385,0.5851,0.22802,2.35631,1.76073,2.01467,0.0005843,0.0005843,0.0005843
145,3727.63,1.24806,0.87295,1.16628,0.5908,0.5,0.53551,0.21344,2.37476,1.71052,2.05754,0.0005744,0.0005744,0.0005744
146,3752.16,1.21698,0.85176,1.13013,0.572,0.57692,0.5774,0.21733,2.37421,1.75975,2.06648,0.0005645,0.0005645,0.0005645
147,3776.59,1.21329,0.79294,1.13485,0.70196,0.46154,0.58683,0.22599,2.32736,1.73176,1.99968,0.0005546,0.0005546,0.0005546
148,3801.41,1.22131,0.85178,1.1674,0.63487,0.53514,0.59601,0.22319,2.25838,1.6604,1.94197,0.0005447,0.0005447,0.0005447
149,3825.66,1.2465,0.82349,1.12594,0.59857,0.53846,0.59874,0.22383,2.30355,1.68459,1.95968,0.0005348,0.0005348,0.0005348
150,3850.14,1.2153,0.81895,1.1148,0.50881,0.61538,0.6081,0.23982,2.28641,1.60024,1.98354,0.0005249,0.0005249,0.0005249
151,3874.62,1.23942,0.831,1.16219,0.51121,0.64383,0.60512,0.2331,2.31668,1.55932,2.03454,0.000515,0.000515,0.000515
152,3899.02,1.16295,0.77149,1.13171,0.51778,0.69231,0.61703,0.23118,2.33446,1.55584,2.09675,0.0005051,0.0005051,0.0005051
